feature,importance
poor_physical_health_days,0.2760175244274959
per_capita_income,0.20124281242286773
some_college,0.1639849230488061
poor_or_fair_health,0.09710736122945604
children_poverty,0.06424207095952118
poverty_rate,0.041544561779522496
median_household_income,0.03462477801567115
high_school_completion,0.01963272582202322
broadband_access,0.018722149585055893
uninsured_rate,0.01690911541074783
poor_mental_health_days,0.012295706680266666
life_expectancy,0.011471893820744872
food_environment_index,0.007070628573722326
population,0.006705178306343008
unemployment_rate,0.005561599179645846
exercise_access,0.00514344415546671
income_inequality,0.00505687593718553
social_association_rate,0.0034130250940783867
child_care_cost_burden,0.00333645679515566
rural_percent,0.0032237719158532347
severe_housing_problems,0.002693396840370234
